"jurisdiction","iso_alpha_2","iso_numeric","tax_codes","status_type","status_label","instrument_category","instrument_title","complementary_act","principal_official_url","secondary_official_urls","signed_not_in_force","signed_not_in_force_url"
"Monténégro","ME","499","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 28 mars 1974 (ex-Yougoslavie) (Journal officiel du 13 septembre 1975)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/ex_yougoslavie/convention-avec-l-ex-yougoslavie_fd_1730.pdf","","",""
"Monténégro","ME","499","IR","inforce","en vigueur","Impôt sur le revenu","Avenant du 26 mars 2003 (Journal officiel du 23 mai 2003)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/ex_yougoslavie/convention-avec-l-ex-yougoslavie_fd_1730.pdf","","",""
"Namibie","NA","516","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 29 mai 1996 (Journal officiel du 29 mai 1999)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/namibie/namibie_convention-avec-la-namibie_fd_1432.pdf","","",""
"Niger","NE","562","IR|S|DE","susp","suspendue","Impôt sur le revenu","Convention et échange de lettres du 1er juin 1965 (Journal officiel du 1er décembre 1966 et rectificatif du 8 janvier 1967)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/niger/niger_convention-avec-le-niger_fd_1962.pdf","","",""
"Niger","NE","562","IR|S|DE","susp","suspendue","Impôt sur le revenu","Avenant du 16 février 1973 (Journal officiel du 13 mars 1977)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/niger/niger_convention-avec-le-niger_fd_1962.pdf","","",""
"Nigeria","NG","566","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 27 février 1990 (Journal officiel du 19 juillet 1991)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/nigeria/nigeria_convention-avec-le-nigeria_fd_1963.pdf","","",""
"Norvège","NO","578","IR|IF","inforce","en vigueur","Impôt sur le revenu","Convention du 19 décembre 1980 (Journal officiel du 25 octobre 1981)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/norvege/norvege_convention-avec-la-norvege_fd_1966.pdf","","",""
"Norvège","NO","578","IR|IF","inforce","en vigueur","Impôt sur le revenu","Avenant du 14 novembre 1984 (Journal officiel du 27 octobre 1985)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/norvege/norvege_convention-avec-la-norvege_fd_1966.pdf","","",""
"Norvège","NO","578","IR|IF","inforce","en vigueur","Impôt sur le revenu","Avenant du 7 avril 1995 (Journal officiel du 17 octobre 1996)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/norvege/norvege_convention-avec-la-norvege_fd_1966.pdf","","",""
"Norvège","NO","578","IR|IF","inforce","en vigueur","Impôt sur le revenu","Avenant du 16 septembre 1999 (Journal officiel du 20 février 2003)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/norvege/norvege_convention-avec-la-norvege_fd_1966.pdf","","",""
"Nouvelle-Calédonie","NC","540","IR|S|D|DE","inforce","en vigueur","Impôt sur le revenu","Convention des 31 mars et 5 mai 1983 (Journal officiel du 27 juillet 1983)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/nouvelle-caledonie/nouvelle-caledonie_convention-avec-la-nouvelle-caledonie_fd_2175.pdf","","",""
"Nouvelle-Zélande","NZ","554","IR","inforce","en vigueur","Impôt sur le revenu","Convention du 30 novembre 1979 (Journal officiel du 16 mai 1981)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/nouvelle-zelande/convention_avec_la_nouvelle_zelande_modifiee_par_la_cml.pdf","","",""
"Oman","OM","512","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Convention et échange de lettres du 1er juin 1989 (Journal officiel du 1er août 1990)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/oman/oman_convention_modifiee_cml.pdf","","",""
"Oman","OM","512","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Avenant du 22 octobre 1996 (Journal officiel du 30 avril 2004)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/oman/oman_convention_modifiee_cml.pdf","","",""
"Oman","OM","512","IR|IF|S","inforce","en vigueur","Impôt sur le revenu","Avenant du 8 avril 2012 (Journal officiel du 20 mars 2013)","false","https://www.impots.gouv.fr/sites/default/files/media/10_conventions/oman/oman_convention_modifiee_cml.pdf","","",""
